layer,effective dimensionality,80% variance,alpha,architecture,task,kind,source
layer1.0.relu,2.434753780264292,6.0,1.3661646300307826,ResNet18,None,Untrained,PyTorch
layer1.1.relu,2.3642238604413826,6.0,1.3376172305111669,ResNet18,None,Untrained,PyTorch
layer2.0.relu,2.675059247818452,13.0,1.3097889402831384,ResNet18,None,Untrained,PyTorch
layer2.1.relu,2.3746512678351466,11.0,1.24770334103326,ResNet18,None,Untrained,PyTorch
layer3.0.relu,2.7043515895444585,28.0,1.2703198595654983,ResNet18,None,Untrained,PyTorch
layer3.1.relu,2.410865866359744,17.0,1.166441184529273,ResNet18,None,Untrained,PyTorch
layer4.0.relu,3.116637128914976,74.0,1.6144554247117218,ResNet18,None,Untrained,PyTorch
layer4.1.relu,2.459976839167945,38.0,1.299283176160435,ResNet18,None,Untrained,PyTorch
layer1.0.relu,3.062819588206113,12.0,1.330592833341437,ResNet50,None,Untrained,PyTorch
layer1.1.relu,2.6741435793873776,11.0,1.377484054391756,ResNet50,None,Untrained,PyTorch
layer1.2.relu,2.37831760063399,9.0,1.2734795419680125,ResNet50,None,Untrained,PyTorch
layer2.0.relu,2.611320494651143,17.0,1.786427693553227,ResNet50,None,Untrained,PyTorch
layer2.1.relu,2.5252716611741777,14.0,1.8245243260718595,ResNet50,None,Untrained,PyTorch
layer2.2.relu,2.2295285522438832,7.0,1.421553865941675,ResNet50,None,Untrained,PyTorch
layer2.3.relu,2.1836261529689005,6.0,1.7748887767702324,ResNet50,None,Untrained,PyTorch
layer3.0.relu,2.4123213904343324,14.0,1.695606923076149,ResNet50,None,Untrained,PyTorch
layer3.1.relu,1.990854094977356,5.0,1.74706535275394,ResNet50,None,Untrained,PyTorch
layer3.2.relu,1.6971834918511954,3.0,1.8000298425284835,ResNet50,None,Untrained,PyTorch
layer3.3.relu,1.639763667010906,2.0,1.8796050576211745,ResNet50,None,Untrained,PyTorch
layer3.4.relu,1.5857244686169347,2.0,1.873072092651343,ResNet50,None,Untrained,PyTorch
layer3.5.relu,1.4677213555422797,1.0,1.876489325757422,ResNet50,None,Untrained,PyTorch
layer4.0.relu,1.4869066686999095,1.0,1.630293002667199,ResNet50,None,Untrained,PyTorch
layer4.1.relu,1.4818435538882797,1.0,1.792845275896237,ResNet50,None,Untrained,PyTorch
layer4.2.relu,1.436652466823076,1.0,1.818244596348602,ResNet50,None,Untrained,PyTorch
layer1.0.relu,5.896696567474288,15.0,1.2751643612110597,ResNet18,Object Classification,Supervised,PyTorch
layer1.1.relu,7.075903438212291,22.0,1.139739608913073,ResNet18,Object Classification,Supervised,PyTorch
layer2.0.relu,16.726288750424036,41.0,1.01307995214378,ResNet18,Object Classification,Supervised,PyTorch
layer2.1.relu,20.81275591741997,47.0,0.9340028266655572,ResNet18,Object Classification,Supervised,PyTorch
layer3.0.relu,28.66450681076116,71.0,1.0095021167914446,ResNet18,Object Classification,Supervised,PyTorch
layer3.1.relu,29.971830471614105,82.0,0.9664086685764172,ResNet18,Object Classification,Supervised,PyTorch
layer4.0.relu,70.31865152396418,184.0,0.8618976665094694,ResNet18,Object Classification,Supervised,PyTorch
layer4.1.relu,126.93297770778086,156.0,0.7413425519763198,ResNet18,Object Classification,Supervised,PyTorch
layer1.0.relu,6.944286038089063,23.0,1.9573229531973075,ResNet50,Object Classification,Supervised,PyTorch
layer1.1.relu,7.8557026421305025,33.0,1.8558248499700485,ResNet50,Object Classification,Supervised,PyTorch
layer1.2.relu,8.805289362037177,49.0,1.1697642851022236,ResNet50,Object Classification,Supervised,PyTorch
layer2.0.relu,17.212073506074102,86.0,1.84302216611729,ResNet50,Object Classification,Supervised,PyTorch
layer2.1.relu,17.405114326996607,115.0,1.6478796378391114,ResNet50,Object Classification,Supervised,PyTorch
layer2.2.relu,19.893641052019877,147.0,1.0043335603107713,ResNet50,Object Classification,Supervised,PyTorch
layer2.3.relu,23.37230792351776,163.0,0.9517613908974402,ResNet50,Object Classification,Supervised,PyTorch
layer3.0.relu,40.70563338682391,234.0,1.5161971092832145,ResNet50,Object Classification,Supervised,PyTorch
layer3.1.relu,43.27350545409153,270.0,1.5208290701966287,ResNet50,Object Classification,Supervised,PyTorch
layer3.2.relu,48.23911633447187,303.0,1.4600661261852257,ResNet50,Object Classification,Supervised,PyTorch
layer3.3.relu,47.04173218632648,307.0,1.518529798088738,ResNet50,Object Classification,Supervised,PyTorch
layer3.4.relu,51.16509572330922,325.0,0.9627855272797192,ResNet50,Object Classification,Supervised,PyTorch
layer3.5.relu,56.46912086732934,343.0,0.9250481546492596,ResNet50,Object Classification,Supervised,PyTorch
layer4.0.relu,94.94952896779358,451.0,0.9552622723465436,ResNet50,Object Classification,Supervised,PyTorch
layer4.1.relu,103.8688899235347,373.0,0.954165478974899,ResNet50,Object Classification,Supervised,PyTorch
layer4.2.relu,122.61222705967816,210.0,0.9745859100183938,ResNet50,Object Classification,Supervised,PyTorch
layer1.0.relu,3.4602401062671824,12.0,1.3594026953644125,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer1.1.relu,3.5232735100627317,8.0,1.4480239230663037,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer1.2.relu,2.5518468949658364,3.0,1.5801210213890144,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer2.0.relu,1.6922796298043408,2.0,1.8828478892139917,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer2.1.relu,1.8503489886984896,2.0,1.9689559222522477,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer2.2.relu,1.797541175579236,2.0,1.9188404630678089,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer2.3.relu,1.9771461783052973,2.0,1.7363988762430556,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer3.0.relu,1.5717747930588744,2.0,1.9120637103065536,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer3.1.relu,1.014843486061356,1.0,2.17722126386013,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer3.2.relu,1.0054430458514043,1.0,2.322543205104535,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer3.3.relu,1.003185469399422,1.0,2.4778249037158715,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer3.4.relu,1.0034692092894444,1.0,2.451859281136707,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer3.5.relu,1.0129202459594606,1.0,2.289585022241579,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer4.0.relu,1.0246318580872824,1.0,2.2933819202352588,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer4.1.relu,1.0104508633059446,1.0,2.378777160489291,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer4.2.relu,1.0039234848696763,1.0,2.4678205281716057,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
layer1.0.relu,3.4052616937749542,24.0,1.1808649598420151,ResNet50,Curvature Estimation,Supervised,Taskonomy
layer1.1.relu,3.593391137818668,26.0,1.1977615292788155,ResNet50,Curvature Estimation,Supervised,Taskonomy
layer1.2.relu,4.5330804795643145,41.0,1.1525327943918884,ResNet50,Curvature Estimation,Supervised,Taskonomy
layer2.0.relu,3.400747446226674,27.0,1.2242510881015285,ResNet50,Curvature Estimation,Supervised,Taskonomy
layer2.1.relu,2.278124882646551,7.0,1.2734483099303553,ResNet50,Curvature Estimation,Supervised,Taskonomy
layer2.2.relu,1.5248945363057176,1.0,1.382692376654934,ResNet50,Curvature Estimation,Supervised,Taskonomy
